date,player,team,playerAnnotation,teamAnnotation
2011-10-09,8,0,,,
2011-10-16,5,1,,,
2011-10-23,5,1,,,
2011-10-30,4,1,,,
2011-11-06,4,1,,,
2011-11-13,4,1,,,
2011-11-20,4,1,,,
2011-11-27,6,1,,,
2011-12-04,6,2,,,
2011-12-11,6,2,,1st overall draft pick Kyrie Irving signs with the Cleveland Cavaliers
2011-12-18,6,3,,,
2011-12-25,11,2,,,
2012-01-01,11,2,,,
2012-01-08,7,2,,,
2012-01-15,8,2,,,
2012-01-22,7,2,,,
2012-01-29,11,2,,,
2012-02-05,8,2,,,
2012-02-12,8,2,,,
2012-02-19,10,2,,,
2012-02-26,12,2,,,
2012-03-04,11,2,,,
2012-03-11,10,2,,,
2012-03-18,9,1,,,
2012-03-25,10,1,,,
2012-04-01,10,1,,,
2012-04-08,9,1,,,
2012-04-15,10,2,,,
2012-04-22,10,1,,,
2012-04-29,12,2,,,
2012-05-06,11,1,,,
2012-05-13,13,1,,,
2012-05-20,13,1,,,
2012-05-27,15,1,,,
2012-06-03,21,1,,,
2012-06-10,25,2,,,
2012-06-17,44,3,,,
2012-06-24,18,2,,,
2012-07-01,12,2,,,
2012-07-08,11,2,,,
2012-07-15,9,1,,,
2012-07-22,9,1,,,
2012-07-29,13,1,,,
2012-08-05,11,1,,,
2012-08-12,13,1,,,
2012-08-19,13,1,,,
2012-08-26,9,1,,,
2012-09-02,8,1,,,
2012-09-09,7,1,,,
2012-09-16,7,1,,,
2012-09-23,7,1,,,
2012-09-30,8,1,,,
2012-10-07,7,1,,,
2012-10-14,8,1,,,
2012-10-21,7,2,,,
2012-10-28,11,2,,,
2012-11-04,10,1,,,
2012-11-11,10,1,,,
2012-11-18,10,2,,,
2012-11-25,10,2,,,
2012-12-02,11,2,,,
2012-12-09,9,2,,,
2012-12-16,10,1,,,
2012-12-23,13,1,,,
2012-12-30,10,2,,,
2013-01-06,9,2,,,
2013-01-13,11,2,,,
2013-01-20,10,2,,,
2013-01-27,11,2,,,
2013-02-03,11,2,,,
2013-02-10,17,2,,,
2013-02-17,17,2,,,
2013-02-24,14,2,,,
2013-03-03,15,1,,,
2013-03-10,11,3,,,
2013-03-17,17,1,,,
2013-03-24,15,1,,,
2013-03-31,13,1,,,
2013-04-07,11,1,,,
2013-04-14,11,1,,,
2013-04-21,13,1,,,
2013-04-28,13,1,,,
2013-05-05,19,1,,,
2013-05-12,13,2,,,
2013-05-19,17,1,,,
2013-05-26,18,2,,,
2013-06-02,23,1,,,
2013-06-09,23,2,,,
2013-06-16,45,3,,,
2013-06-23,21,2,,,
2013-06-30,13,3,,,
2013-07-07,12,2,,,
2013-07-14,12,1,,,
2013-07-21,12,1,,,
2013-07-28,11,1,,,
2013-08-04,11,1,,,
2013-08-11,10,1,,,
2013-08-18,11,1,,,
2013-08-25,9,1,,,
2013-09-01,10,1,,,
2013-09-08,9,1,,,
2013-09-15,11,1,,,
2013-09-22,8,1,,,
2013-09-29,10,1,,,
2013-10-06,10,2,,,
2013-10-13,11,2,,,
2013-10-20,10,3,,,
2013-10-27,15,2,,,
2013-11-03,13,2,,,
2013-11-10,12,2,,,
2013-11-17,12,2,,,
2013-11-24,13,2,,,
2013-12-01,12,2,,,
2013-12-08,12,2,,,
2013-12-15,15,2,,,
2013-12-22,18,2,,,
2013-12-29,15,3,,,
2014-01-05,12,2,,,
2014-01-12,12,2,,,
2014-01-19,12,2,,,
2014-01-26,12,2,,,
2014-02-02,12,2,,,
2014-02-09,14,3,,,
2014-02-16,20,2,,,
2014-02-23,18,2,,,
2014-03-02,19,2,,,
2014-03-09,13,2,,,
2014-03-16,13,2,,,
2014-03-23,13,2,,,
2014-03-30,13,1,,,
2014-04-06,13,1,,,
2014-04-13,11,1,,,
2014-04-20,13,1,,,
2014-04-27,16,1,,,
2014-05-04,14,1,,,
2014-05-11,15,3,,,
2014-05-18,14,2,,,
2014-05-25,19,1,,,
2014-06-01,24,2,,,
2014-06-08,25,3,,,
2014-06-15,32,4,LeBron James and the Miami Heat are defeated in five games (4-1) by the San Antonio Spurs in the NBA finals,,
2014-06-22,34,3,,,
2014-06-29,20,26,,,
2014-07-06,100,13,LeBron James announces intention to sign with the Cleveland Cavaliers,,
2014-07-13,30,6,,,,
2014-07-20,16,5,,,
2014-07-27,14,7,,,
2014-08-03,17,5,,,
2014-08-10,12,5,,,
2014-08-17,11,5,,,
2014-08-24,10,3,,1st overall draft pick Andrew Wiggins is part of three-team trade made to the Minnesota Timberwolves for Kevin Love,
2014-08-31,9,3,,,
2014-09-07,9,3,,,
2014-09-14,14,4,,,
2014-09-21,11,5,,,
2014-09-28,11,7,,,
2014-10-05,10,6,,,
2014-10-12,11,5,,,
2014-10-19,11,18,,,
2014-10-26,17,12,,,
2014-11-02,13,9,,,
2014-11-09,11,10,,,
2014-11-16,11,8,,,
2014-11-23,10,8,,,
2014-11-30,11,10,,,
2014-12-07,15,7,,,
2014-12-14,13,11,,,
2014-12-21,16,7,,,
2014-12-28,14,10,,,
2015-01-04,11,8,,,
2015-01-11,12,8,,,
2015-01-18,10,9,,,
2015-01-25,10,9,,,
2015-02-01,9,9,,,
2015-02-08,12,6,,,
2015-02-15,12,10,,,
2015-02-22,13,10,,,
2015-03-01,14,9,,,
2015-03-08,11,8,,,
2015-03-15,11,6,,,
2015-03-22,10,7,,,
2015-03-29,10,7,,,
2015-04-05,10,7,,,
2015-04-12,10,15,,,
2015-04-19,13,11,,,
2015-04-26,11,22,,,
2015-05-03,12,34,,,
2015-05-10,19,27,,,
2015-05-17,14,37,,,
2015-05-24,22,34,,,
2015-05-31,21,81,,,
2015-06-07,70,59,,Cavaliers report that Kyrie Irving will miss rest of the NBA Finals series due to foot injury,
2015-06-14,53,6,,Cavaliers lose to the Golden State Warriors in Game of 5 of the 2015 NBA Finals,
2015-06-21,14,6,,,
2015-06-28,15,6,,,
2015-07-05,12,4,,,
2015-07-12,11,4,,,
2015-07-19,10,4,,,
2015-07-26,10,3,,,
2015-08-02,9,3,,,
2015-08-09,10,3,,,
2015-08-16,9,3,,,
2015-08-23,8,3,,,
2015-08-30,8,3,,,
2015-09-06,8,2,,,
2015-09-13,8,3,,,
2015-09-20,8,3,,,
2015-09-27,9,4,,,
2015-10-04,9,4,,,
2015-10-11,8,4,,,
2015-10-18,8,12,,,
2015-10-25,10,9,,,
2015-11-01,12,9,,,
2015-11-08,11,8,,,
2015-11-15,10,8,,,
2015-11-22,10,8,,,
2015-11-29,12,8,,,
2015-12-06,15,9,,,
2015-12-13,16,17,,,
2015-12-20,15,8,,,
2015-12-27,12,8,,,
2016-01-03,11,10,,,
2016-01-10,10,17,,,
2016-01-17,11,13,,,
2016-01-24,11,11,,Tyronn Lue replaces David Blatt as the head coach,
2016-01-31,10,8,,,
2016-02-07,10,8,,,
2016-02-14,10,10,,,
2016-02-21,10,8,,,
2016-02-28,11,9,,,
2016-03-06,10,8,,,
2016-03-13,9,8,,,
2016-03-20,11,8,,,
2016-03-27,10,7,,,
2016-04-03,9,8,,,
2016-04-10,13,17,,,
2016-04-17,11,11,,,
2016-04-24,9,21,,,
2016-05-01,11,13,,,
2016-05-08,12,33,,,
2016-05-15,17,60,,,
2016-05-22,18,52,,,
2016-05-29,21,99,,,
2016-06-05,29,100,,The Golden State Warriors win Game 1 and Game 2. The pressure is on for the Cavaliers to win the next game,
2016-06-12,41,99,,Cavaliers need to win Game 5 to keep playing in the Finals,
2016-06-19,82,10,LeBron James wins Finals MVP for the 3rd time as the Cavaliers beat the Golden State Warriors 4-3 to win the 2016 NBA Finals,,
2016-06-26,19,16,,,
2016-07-03,19,8,,,
2016-07-10,13,6,,,
2016-07-17,10,5,,,
2016-07-24,10,4,,,
2016-07-31,10,4,,,
2016-08-07,11,4,,,
2016-08-14,10,4,,,
2016-08-21,9,4,,,
2016-08-28,8,4,,,
2016-09-04,8,4,,,
2016-09-11,7,4,,,
2016-09-18,7,4,,,
2016-09-25,8,6,,,
2016-10-02,8,0,,,
